Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,1908,,,Switzerland,Kanton Graubünden,Pontresina,46.4906964,9.8963981,4,False,1
"Italia, Stresa, Hotel Regina Palace",Ansicht des Hotel Regina Palace in Stresa,1910,,,Italy,Piemonte,Stresa,45.8847147,8.5366051,4,False,1
"Italia, Stresa, Ortsteilansicht","Blick von einer Anhöhe aus über die Dächer von Stresa, im Hintergrund der Lago Maggiore",1910,,,Italy,Piemonte,Stresa,45.88158,8.53834,3,True,0
"Italia, Verbania, Pallanza, Ortsteilansicht",Blick auf die Uferpromenade von Pallanza von einer Anhöhe aus,1910,,,Italy,Piemonte,Pallanza,45.92298,8.55045,3,True,0
"Chli Schärhorn, Panorama",Blick vom Chli Schärhorn (Kleines Scheerhorn) zum Gross Schärhorn (Grosses Scheerhorn) und zum Tödi,1905,,,Switzerland,,Chli Schärhorn,46.8286207,8.824039,4,False,1
"Badus, Landschaft",Blick vom Val Maighels auf den Badus,1905,,,Switzerland,Oromiya Region,Badus,46.6226,8.6637,5,False,0
"Grindelwald, Gletscherschlucht, Teilansicht","Blick entlang der Lütschine auf einen Teil der Gletscherschlucht, am linken Bildrand ist ein Teil der Felsgallerie zu sehen",1907,,,Switzerland,Canton de Berne,Gletscherschlucht,46.6098071,8.0511439,4,False,1
"Rigi Staffel, Hotel Rigi Staffel",Blick auf das Hotel Rigi Staffel gegen den Pilatus,1908-1910,,,Switzerland,Kanton Schwyz,Rigi Staffel,47.05234,8.47518,3,True,0
"Zürich, Kreis 1, Stadthaus, Gesamtaussenansicht","Blick vom Grossmünster auf Zürich mit dem Postgebäude, dem Stadthaus und dem Fraumünster",1907,,,Switzerland,Kanton Zürich,Zürich,47.3692993,8.5414389,4,False,1
"Zürich, Kreis 7, Pflegerinnenschule, Kreuzkirche","Hottingen, Ortsansicht mit der Pflegerinnenschule, im Hintergrund links die Kreuzkirche",1906,,,Switzerland,Kanton Zürich,Zürich,47.3703573,8.5618551,4,False,1
"Italia, Menaggio, Ortsgesamtansicht",Blick auf Menaggio und den Lago die Como von einer Wiese aus,1906,,,Italy,Lombardia,Menaggio,46.02075,9.23907,3,True,0
"Italia, Colico, Lago di Como, Ortsteilansicht",Comersee. Fähre und Dampfschiff bei Anlegestelle in Colico,1906,,,Italy,Lombardia,Colico,46.13205,9.37714,3,True,0
"Brig, Gesamtansicht",Brig gegen den Simplon,1906,,,Switzerland,Canton du Valais,Brig,46.31667,7.98333,3,True,0
"France, Salève, Bonhomme, Landschaft, Bergsteigen","Ansicht einer Felswand des Mont Salève, darauf einige Bergsteiger",1906,,,France,,Salève,46.09417,6.14028,5,False,0
"France, Salève, Bonhomme, Landschaft, Bergsteigen","Ansicht einer Felswand des Mont Salève, darauf einige Bergsteiger",1906,,,France,,Salève,46.09417,6.14028,5,False,0
"Deutschland, Schwarzwald, Bauernhaus",Schwarzwälder Bauernhaus,1906,,,Germany,,"Deutschland, [Lokalisierung unsicher]",,,0,False,0
"Bern, Neues Postgebäude, Gesamtaussenansicht","Gesamtaussenansicht der ehemaligen Oberpostdirektion, Ecke Aarbergergasse-Bollwerk",1906,,,Switzerland,Canton de Berne,Bern,46.94809,7.44744,3,True,0
"Italia, Como, Ortsgesamtansicht",Blick über Como,1906,,,Italy,Lombardia,Como,45.80819,9.0832,3,True,0
"Italia, Varenna, Ortsteilansicht",Varenna und Comer See,1906,,,Italy,Lombardia,Varenna,46.01078,9.28465,3,True,0
"Cabane du Trient, Teilaussenansicht",Aussenansicht der Trienthütte mit Blick auf den Glacier du Trient,1906,,,Switzerland,,Cabane du Trient,45.9995963,7.0436489,4,False,1
"Schweiz, Skisport [Lokalisierung unsicher]",Ansicht eines Skifahrers mit dem Telemarkschwung,1908,,,Switzerland,,Schweiz,,,0,False,0
"Schweiz, Skisport [Lokalisierung unsicher]",Ansicht eines Skifahrers mit dem Telemarkschwung,1908,,,Switzerland,,Schweiz,,,0,False,0
"Grindelwald, Bahnhofplatz, Ortsteilansicht","Bahnhofplatz in Grindelwald im Winter, im Hintergrund das Wetterhorn",1908,,,Switzerland,Canton de Berne,Grindelwald,46.9484908,7.4402444,4,False,1
"Landschaft, Skijöring [Lokalisierung unsicher]","Winterlandschaft, Skijöring-Gruppe auf Strasse",1907,,,,,[Lokalisierung unsicher],,,0,False,0
"St. Moritz, Landschaft","Winterlandschaft, Skijöring-Gruppe bei St. Moritz",1908,,,Switzerland,Kanton Graubünden,St. Moritz,46.49937,9.84327,3,True,0
"Skisport, Kristiania-Schwung","Ansicht eines Skifahrers im 'Kristiania-Schwung', ein zweiter Skifahrer steht etwas oberhalb",1908,,,Switzerland,,Schweiz,46.7985624,8.2319736,2,True,1
"St. Moritz, Landschaft",Teilabschnitt der Bobbahn St.Moritz durch den Wald,1908,,,Switzerland,Kanton Graubünden,St. Moritz,46.49937,9.84327,3,True,0
"Luzern, Ortsgesamtansicht",Blick auf Luzern gegen den Pilatus,1900,,,Switzerland,Kanton Luzern,Luzern,47.05048,8.30635,3,True,0
"Paspels, Canova, Burg Neu-Süns, Teilaussenansicht",Ruine von Canova (Burg Neu-Süns) und Canovasee,1908,,,Switzerland,Kanton Graubünden,Paspels,46.74376,9.44842,5,False,0
"Luzern, Löwendenkmal, Teilansicht",Detailansicht der Löwenskulptur des Löwendenkmals und Teile der Inschrift,1906,,,Switzerland,Kanton Luzern,Luzern,47.0584443,8.310868,4,False,1
"Interlaken, Harderbahn, untere Station, Teilaussenansicht",Harderbahn. Ansicht der Station bei Interlaken,1908,,,Switzerland,Canton de Berne,Interlaken,46.6955816,7.8628464,4,False,1
"Harderbahn, Bergstation, Teilaussenansicht",Harderbahn. Blick vom Trassee hinauf zur oberen Station und auf einen Bahnwagen,1908,,,Switzerland,,Harder Kulm,46.6955816,7.8628464,4,False,1
"Harderkulm, Bergrestaurant, Teilaussenansicht",Ansicht des Bergrestaurants Harder Kulm,1908,,,Switzerland,,Harderkulm,46.6996822,7.8561411,4,False,1
"Unterseen, Hotel Harder Kulm, Teilaussenansicht",Vorderseite des Harder Kulm Hotel bei Untersseen,1908,,,Switzerland,Canton de Berne,Unterseen,46.6853,7.84722,3,True,0
"Harderbahn, Teilansicht","Blick auf einen Teil der Harderbahn mit einem Wagen, im Hintergrund Interlaken",1908,,,Switzerland,Canton de Berne,Interlaken,46.6955816,7.8628464,4,False,1
"Zürich, Kreis 1, Bauschänzli, Ortsteilansicht","Zürich, Blick von der Quaibrücke auf das Bauschänzli",1908,,,Switzerland,Kanton Zürich,Zürich,47.3678613,8.5423935,4,False,1
"Lugano, Kirche Santa Maria degli Angioli, Teilinnenansicht","Kirche Santa Maria degli Angioli, la Crocifissione von Bernardino Luini gemalt",1908,,,Switzerland,Cantone Ticino,Lugano,45.9999834,8.9490351,4,False,1
"Davos, Bob-Sport",Teilansicht der Davoser Bobbahn mit grosser Zuschauermenge,1908,,,Switzerland,Kanton Graubünden,Davos,46.80429,9.83723,3,True,0
