City;Breitengrad;Längengrad;Name;Beschreibung;firstBreitengrad;firstLängengrad;Exakte Koordinaten;Adresse;Datei;Periode;Quelle;Urheber:in;Referenz;;;
Pontresina;46.4906964;9.8963981;Pontresina, Bahnhof, Gesamtaussenansicht;Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen;46.489993;9.9042965;Nein;Pontresina;lcmt-nabi-pctmp_ead_wehr_15237-B_pctmp.jpg;1908;helveticarchives.org;Jean Gaberell;https://commons.wikimedia.org/entity/M144729177;;;
St. Moritz;46.4987087;9.8459869;St. Moritz, Bahnhof und Hotel La Margna, Gesamtaussenansicht;Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna;46.4978958;9.8392428;Nein;St. Moritz;lcmt-nabi-pctmp_ead_wehr_15233-B_pctmp.jpg;1908;helveticarchives.org;Jean Gaberell;https://commons.wikimedia.org/entity/M144728975;;;
Thusis;46.662043;9.448247;Thusis, Viamala-Schlucht, Landschaft;Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999);46.6972368;9.4390836;Nein;Thusis;lcmt-nabi-pctmp_ead_zing_10000_pctmp.jpg;circa 1890;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159026677;;;
Bormio;46.46717;10.37008;Italia, Bormio, Ortsteilansicht;"Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)";46.4692482;10.3721712;Nein;Bormio;lcmt-nabi-pctmp_ead_zing_10045_pctmp.jpg;circa 1900;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159028367;;;
Stelvio;46.5333;10.45;Passo dello Stelvio, Landschaft;"Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien";46.5424387;10.5578294;Nein;Stelvio;lcmt-nabi-pctmp_ead_zing_10046_pctmp.jpg;circa 1900;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159028405;;;
Stelvio;46.5333;10.45;Passo dello Stelvio, Panorama;Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch;46.5424387;10.5578294;Nein;Stelvio;lcmt-nabi-pctmp_ead_zing_10047_pctmp.jpg;circa 1900;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M159028443;;;
Santa Maria Val Müstair;46.5090956;10.5449304;Ortler, Landschaft;Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus;;;Nein;;lcmt-nabi-pctmp_ead_zing_11165_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162267831;;;
Santa Maria Val Müstair;46.5090956;10.5449304;Ortler, Landschaft;Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.;;;Nein;;lcmt-nabi-pctmp_ead_zing_11166_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162267859;;;
Santa Maria Val Müstair;46.5090956;10.5449304;Ortler, Landschaft;Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler;;;Nein;;lcmt-nabi-pctmp_ead_zing_11168_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162267940;;;
;;;Porträt, Männliche Person, Engadin;Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend;;;Nein;;lcmt-nabi-pctmp_ead_zing_11190_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162268999;;;
Finstermünz;;;Finstermünz, Landschaft;Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.;47.657323;11.5233058;Nein;Finstermünz;lcmt-nabi-pctmp_ead_zing_11559_pctmp.jpg;1917;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162340481;;;
Finstermünz;;;Finstermünz, Landschaft;Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.;47.657323;11.5233058;Nein;Finstermünz;lcmt-nabi-pctmp_ead_zing_11560_pctmp.jpg;1917;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162340574;;;
Puria;46.0324;9.05694;Puria (IT), Ortschaft, Ortsteilansicht;"Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten";46.032034;9.0562556;Nein;Puria;lcmt-nabi-pctmp_ead_zing_12082_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162737107;;;
Puria;46.0324;9.05694;Puria (IT), Ortschaft, Ortsteilansicht;"Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda";46.032034;9.0562556;Nein;Puria;lcmt-nabi-pctmp_ead_zing_12083_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162737125;;;
Cressogno;46.02426;9.07102;Cressogno (IT), Chiesa San Nicolao, Teilaussenansicht;Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade;46.0247294;9.0727473;Nein;Cressogno;lcmt-nabi-pctmp_ead_zing_12084_pctmp.jpg;1890-1936;helveticarchives.org;Rudolf Zinggeler;https://commons.wikimedia.org/entity/M162737140;;;
