Title;Description;City;lat_true;lon_true
France, Annemasse, Grand Salève, Teilansicht;Frankreich. Landschaft. Eine hohe Felswand, davor liebliche Wiesengründe: am Salève, Nordwand;;;
Porträt, Männliche Person, Schweiz;Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit;;;
katholische kirche;katholische Kirche in flerden;Flerden;46.7036786;9.4052987
Kläranlage;So wird in Graubünden Abwasser gereinigt.;Lohn;46.8707961;9.529654
Hotel;Jugendstilhotel mit Bergen;asdfasdfasdf;46.850776;9.533757
Bahnhof;Neu und alt kombiniert;Lzern;47.0494887;8.3103841
Schulhaus;Schulhaus in Almens;;46.7380508;9.4544543
Kirche;kirche in Almens;Almens;46.7379266;9.4549095
Kirche;Kirche in flerden;;46.7036786;9.4052987
Schloss Chillon;schloss in der schweiz;;46.4142131;6.9274924
Montalinschulhaus;schule in chur;Chur;46.8560676;9.5353245
Kirchlein Mutten;holzkirche in graubünden;Mutten;46.6720243;9.4835307
Sprungschanze Vikersund;Skifliegen mal anders;Vikersund;59.9372879;10.0017017
Thusis, Viamala-Schlucht;Landschaft Sils im Domleschg GR Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999);;46.6633327;9.4473701
Bormio, Ortsteilansicht;Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen. an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?);Bormio;46.46717;10.37008
Porträt, Kind, Onsernone;Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung;Russo;46.201505;8.6209215
Kläranlage;hier wird Abwasser gereinigt.;Haldenstein;46.8707961;9.529654
Roma, Piazza San Pietro, Teilansicht;Rom, Italien. Vatikan. Petersplatz. Ansicht des Platzes von einer Stelle vor der Peterskirche aus mit Blick gegen die Säule. Sichtbar ferner die beiden Endpartien der Kolonnaden des Bernini, dazwischen Häuser der Stadt;Rom;41.90225;12.45726
Maderno, Chiesa di Sant'Andrea;Ansicht der Chiesa di Sant'Andrea in Maderno;Maderno;45.6358142;10.5994694
Bingen am Rhein, Ortsteilansicht;Ansicht von Bingen am Rhein mit der Drususbrücke, die über die Nahe führt;Bingen;49.96675;7.8992
Passo dello Stelvio, Landschaft;Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien, Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien;Vaduz;46.5293602;10.453207
Vaduz, Schloss Vaduz;Vaduz FL. Das Schloss. Teil-Aussenansicht von Süden: der Saalbau mit An- und Vorbauten;;47.13961;9.52434
Obere Surselva und Val Medel;Blick vom Piz Murarun nach Westen Richtung Oberalppass, Dammagletscher und Finsteraarhorn. Unter der Mitte Val Medel. links: Piz Gannaretsch;;46.63228;8.82877
Bärglistock, Panorama;Blick vom Bärglistock auf Wetterhorn und Mättenberg;;46.6150367;8.1407246
Bolzano, Johanneskofel;Ansicht des Johanneskofel über der Sarntalerstrasse;Bozen;46.549444;11.369444
France, Les Bossons, Ortsgesamtansicht;Ansicht des Dorfes Les Bossons, im Hintergrund der Glacier des Bossons;Les Bossons;45.906141;6.839594
Italia, Milano, Arco della Pace, Gesamtansicht;Arco della Pace in Milano;Milan;45.47568;9.17231
Italia, Baveno, Ortsgesamtansicht;Blick auf Baveno, im Vordergrund der Lago Maggiore, im Hintergrund der Monte Molterone;Baveno;45.90818;8.50033
Göschenen, Bahnhof, Gotthardbahn;Expresszug im Bahnhof Göschenen, im Vordergrund Passagiere;Göschenen;46.6658534;8.5887626
Porträt, Männliche Person, St. Moritz;St. Moritz GR. Militär. Grenzbesetzung 1914/18. Offiziere, UO und Soldaten eines Bündner Bataillons vor einem Chalet gruppiert;St. Moritz;46.49937;9.84327
Furth, Kapelle St. Karl Borromeo;Uors-Peiden (Furth) GR. Dorfbild. Häusergruppe bei der Kapelle vom Fussweg nach Surcasti (Oberkastels) aus. Ansicht von N.;Uors;46.7012578;9.1831776
Quaderschulhaus;schule in chur;Chur;46.8523061;9.5347106
Basel, Mittlere Brücke;;;47.5601465;7.5896923
Folketheateret in Oslo;norwegen Folketheateret;Oslo;59.9143295;10.7504664
Arvigo;dorfansicht;Arvigo;46.30211;9.113
Calancatal, Frau in Bündner Tracht;Sitzende Frau mit Bündner Tracht aus dem Calancatal;;46.3383333;9.1069444
Avers, Cresta, Wasserfall;Blick auf den Wasserfall bei Cresta im Averstal;Avers;46.453581;9.542744
Tödi, Panorama;Der Tödi vom Ochsenstock gesehen;;46.8111;8.91491
Lugano, Piazza della Riforma;Lugano, Piazza della Reforma, Ansicht gegen Südwesten, Blick auf die Marktstände, links der Palazzo Civico, im Hintergrund Geschäftshäuser;Lugano;46.0038159;8.9513174
Dorfansicht;Graubünden;Lohn;46.65150745;9.427028527
