Title;Description;Breitengrad;Längengrad;City;01-Datei;Persiode
Pontresina, Bahnhof, Gesamtaussenansicht;Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen;46.489993;9.9042965;Pontresina;lcmt-nabi-pctmp_ead_wehr_15237-B_pctmp.jpg;1908
Italia, Stresa, Hotel Regina Palace, Gesamtaussenansicht;Ansicht des Hotel Regina Palace in Stresa;45.8837277;8.5390268;Stresa;lcmt-nabi-pctmp_ead_wehr_12497-B_pctmp.jpg;1910
Italia, Stresa, Ortsteilansicht;Blick von einer Anhöhe aus über die Dächer von Stresa, im Hintergrund der Lago Maggiore;45.8837277;8.5390268;Stresa;lcmt-nabi-pctmp_ead_wehr_12498-B_pctmp.jpg;1910
Italia, Verbania, Pallanza, Ortsteilansicht;Blick auf die Uferpromenade von Pallanza von einer Anhöhe aus;45.9230169;8.5497586;Pallanza;lcmt-nabi-pctmp_ead_wehr_12499-B_pctmp.jpg;1910
Chli Schärhorn, Panorama;Blick vom Chli Schärhorn (Kleines Scheerhorn) zum Gross Schärhorn (Grosses Scheerhorn) und zum Tödi;46.8286207;8.824039;Chli Schärhorn;lcmt-nabi-pctmp_ead_wehr_1250-B_pctmp.jpg;circa 1905
Badus, Landschaft;Blick vom Val Maighels auf den Badus;42.8555575;0.3497503;Badus;lcmt-nabi-pctmp_ead_wehr_1300-B_pctmp.jpg;circa 1905
Grindelwald, Gletscherschlucht, Teilansicht;Blick entlang der Lütschine auf einen Teil der Gletscherschlucht, am linken Bildrand ist ein Teil der Felsgallerie zu sehen;46.6110047;8.0502865;Gletscherschlucht;lcmt-nabi-pctmp_ead_wehr_13917-B_pctmp.jpg;circa 1907
Rigi Staffel, Hotel Rigi Staffel, Gesamtaussenansicht;Blick auf das Hotel Rigi Staffel gegen den Pilatus;47.053493;8.4738655;Rigi Staffel;lcmt-nabi-pctmp_ead_wehr_13957-B_pctmp.jpg;1908-10
Zürich, Kreis 1, Stadthaus, Gesamtaussenansicht;Blick vom Grossmünster auf Zürich mit dem Postgebäude, dem Stadthaus und dem Fraumünster;47.3744489;8.5410422;Zürich;lcmt-nabi-pctmp_ead_wehr_14007-B_pctmp.jpg;circa 1907
Zürich, Kreis 7, Pflegerinnenschule und Kreuzkirche, Gesamtaussenansicht;Hottingen, Ortsansicht mit der Pflegerinnenschule, im Hintergrund links die Kreuzkirche;47.3744489;8.5410422;Zürich;lcmt-nabi-pctmp_ead_wehr_14388-B_pctmp.jpg;circa 1906
Italia, Menaggio, Ortsgesamtansicht;Blick auf Menaggio und den Lago die Como von einer Wiese aus;46.0197842;9.2389513;Menaggio;lcmt-nabi-pctmp_ead_wehr_14578-B_pctmp.jpg;circa 1906
Italia, Colico, Lago di Como, Ortsteilansicht;Comersee. Fähre und Dampfschiff bei Anlegestelle in Colico;46.1363111;9.3738195;Colico;lcmt-nabi-pctmp_ead_wehr_14579-B_pctmp.jpg;1906
