Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,1908,,,Switzerland,Kanton Graubünden,Pontresina,46.4906964,9.8963981,4,False,1
"Italia, Stresa, Hotel Regina Palace",Ansicht des Hotel Regina Palace in Stresa,1910,,,Italy,Piemonte,Stresa,45.8847147,8.5366051,4,False,1
"Italia, Stresa, Ortsteilansicht","Blick von einer Anhöhe aus über die Dächer von Stresa, im Hintergrund der Lago Maggiore",1910,,,Italy,Piemonte,Stresa,45.88158,8.53834,3,True,0
"Italia, Verbania, Pallanza, Ortsteilansicht",Blick auf die Uferpromenade von Pallanza von einer Anhöhe aus,1910,,,Italy,Piemonte,Pallanza,45.92298,8.55045,3,True,0
"Chli Schärhorn, Panorama",Blick vom Chli Schärhorn (Kleines Scheerhorn) zum Gross Schärhorn (Grosses Scheerhorn) und zum Tödi,1905,,,Switzerland,,Chli Schärhorn,46.8286207,8.824039,4,False,1
"Badus, Landschaft",Blick vom Val Maighels auf den Badus,1905,,,Switzerland,Oromiya Region,Badus,46.6226,8.6637,5,False,0
"Grindelwald, Gletscherschlucht, Teilansicht","Blick entlang der Lütschine auf einen Teil der Gletscherschlucht, am linken Bildrand ist ein Teil der Felsgallerie zu sehen",1907,,,Switzerland,Canton de Berne,Gletscherschlucht,46.6098071,8.0511439,4,False,1
"Rigi Staffel, Hotel Rigi Staffel",Blick auf das Hotel Rigi Staffel gegen den Pilatus,1908-1910,,,Switzerland,Kanton Schwyz,Rigi Staffel,47.05234,8.47518,3,True,0
"Zürich, Kreis 1, Stadthaus, Gesamtaussenansicht","Blick vom Grossmünster auf Zürich mit dem Postgebäude, dem Stadthaus und dem Fraumünster",1907,,,Switzerland,Kanton Zürich,Zürich,47.3692993,8.5414389,4,False,1
"Zürich, Kreis 7, Pflegerinnenschule, Kreuzkirche","Hottingen, Ortsansicht mit der Pflegerinnenschule, im Hintergrund links die Kreuzkirche",1906,,,Switzerland,Kanton Zürich,Zürich,47.3703573,8.5618551,4,False,1
