Titel,Beschreibung,Breitengrad,Längengrad,Exakte Koordinaten,Adresse,Datei,Region,Periode,Beschreibung.1,Quelle,Urheber:in,Referenz,Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls,Deviation_km,Map
"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,46.489993,9.9042965,Nein,Pontresina,lcmt-nabi-pctmp_ead_wehr_15237-B_pctmp.jpg,,1908,,Schweizerische Nationalbibliothek,Jean Gaberell,https://commons.wikimedia.org/entity/M144729177,"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,1908,Jean Gaberell,,Switzerland,Kanton Graubünden,Pontresina,46.4906964,9.8963981,4,False,1,0.61,https://www.openstreetmap.org/?mlat=46.4906964&mlon=9.8963981&zoom=14
"St. Moritz, Bahnhof und Hotel La Margna, Gesamtaussenansicht","Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna",46.4978958,9.8392428,Nein,St. Moritz,lcmt-nabi-pctmp_ead_wehr_15233-B_pctmp.jpg,,1908,,Schweizerische Nationalbibliothek,Jean Gaberell,https://commons.wikimedia.org/entity/M144728975,"St. Moritz, Bahnhof und Hotel La Margna","Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna",1908,Jean Gaberell,,Switzerland,Kanton Graubünden,St. Moritz,46.4987087,9.8459869,4,False,1,0.52,https://www.openstreetmap.org/?mlat=46.4987087&mlon=9.8459869&zoom=14
"Thusis, Viamala, Landschaft","Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)",46.6972368,9.4390836,Nein,Thusis,lcmt-nabi-pctmp_ead_zing_10000_pctmp.jpg,Graubünden,circa 1890,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159026677,"Thusis, Viamala, Landschaft","Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)",,,,Switzerland,Kanton Graubünden,Thusis,46.662043,9.448247,4,False,1,3.98,https://www.openstreetmap.org/?mlat=46.662043&mlon=9.448247&zoom=14
"Italia, Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)",46.4692482,10.3721712,Nein,Bormio,lcmt-nabi-pctmp_ead_zing_10045_pctmp.jpg,,circa 1900,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028367,"Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)",1900,Rudolf Zinggeler,,Italy,Lombardia,Bormio,46.46717,10.37008,3,True,0,0.28,https://www.openstreetmap.org/?mlat=46.46717&mlon=10.37008&zoom=14
"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien",46.5424387,10.5578294,Nein,Stelvio,lcmt-nabi-pctmp_ead_zing_10046_pctmp.jpg,,circa 1900,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028405,"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien",1900,,,Italy,Lombardia,Stelvio,46.5333,10.45,5,False,0,8.31,https://www.openstreetmap.org/?mlat=46.5333&mlon=10.45&zoom=14
"Passo dello Stelvio, Panorama","Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch",46.5424387,10.5578294,Nein,Stelvio,lcmt-nabi-pctmp_ead_zing_10047_pctmp.jpg,,circa 1900,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M159028443,"Passo dello Stelvio, Panorama","Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch",1900,Rudolf Zinggeler,,Italy,Lombardia,Stelvio,46.5333,10.45,5,False,0,8.31,https://www.openstreetmap.org/?mlat=46.5333&mlon=10.45&zoom=14
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus",,,Nein,,lcmt-nabi-pctmp_ead_zing_11165_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267831,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus",1890-1936,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Santa Maria Val Müstair,,,0,False,0,,
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.",,,Nein,,lcmt-nabi-pctmp_ead_zing_11166_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267859,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.",1890-1936,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Santa Maria Val Müstair,,,0,False,0,,
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler",,,Nein,,lcmt-nabi-pctmp_ead_zing_11168_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162267940,"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler",1890-1936,Rudolf Zinggeler,,Italy,Trentino-Alto Adige,Santa Maria Val Müstair,,,0,False,0,,
"Porträt, Männliche Person, Engadin","Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend",,,Nein,,lcmt-nabi-pctmp_ead_zing_11190_pctmp.jpg,,1890-1936,,Schweizerische Nationalbibliothek,Rudolf Zinggeler,https://commons.wikimedia.org/entity/M162268999,"Porträt, Männliche Person, Engadin","Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend",1890-1936,Rudolf Zinggeler,,Switzerland,Kanton Graubünden,,,,0,False,0,,
