Title,Description,Periode,Urheber,Technik,Country,Region,City,Lat,Lon,Coord-Quality-Score,Fallback,Ext-Calls
"Pontresina, Bahnhof, Gesamtaussenansicht",Gesamtansicht des Bahnhofs mit Berninabahn und Pferdekutschen,1908,,,Switzerland,Kanton Graubünden,Pontresina,46.4906964,9.8963981,4,False,1
"St. Moritz, Bahnhof und Hotel La Margna","Bahnhofplatz mit Dampflokomotive, Kutschen ('Hoteltaxis') und Hotel La Margna",1908,,,Switzerland,Kanton Graubünden,St. Moritz,46.4987087,9.8459869,4,False,1
"Thusis, Viamala-Schlucht, Landschaft","Sils im Domleschg GR. Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)",1890,,,Switzerland,Kanton Graubünden,Thusis,46.662043,9.448247,4,False,1
"Italia, Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen; an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)",1900,,,Italy,Lombardia,Bormio,46.46717,10.37008,3,True,0
"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien; Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien",1900,,,Italy,Trentino-Alto Adige,Stelvio,46.5333,10.45,5,False,0
"Passo dello Stelvio, Panorama","Stelvio, Italien. Hochgebirgslandschaft mit schroffem Bergkegel und grösserem Gletscherfeld: Motatsch",1900,,,Italy,Trentino-Alto Adige,Stelvio,46.5333,10.45,5,False,0
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft aus dem Tourengebiet von Sta. Maria: Bergzacken und Schnee- und Eisfelder in der Ortlergruppe, gesehen vom Stilfserjoche aus",1890-1936,,,Switzerland,,Sta Maria Val Müstair,46.5090956,10.5449304,4,False,1
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: die Ortlergruppe, gesehen vom Stilfserjoche aus.",1890-1936,,,Switzerland,,Sta Maria Val Müstair,46.5090956,10.5449304,4,False,1
"Ortler, Landschaft","Sta Maria Val Müstair GR. Hochgebirgslandschaft im Tourengebiet von Sta. Maria: Berghaupt, Gletscher und Schneefelder in der südlichen Nachbarschaft des Ortler",1890-1936,,,Switzerland,,Sta Maria Val Müstair,46.5090956,10.5449304,4,False,1
"Porträt, Männliche Person, Engadin","Schweiz. Alter Mann mit Stock, vor einem Haus auf Bank sitzend, Pfeife rauchend",1890-1936,,,Switzerland,,,,,0,False,0
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Aufnahme 1917.,1917,,,Austria,,Finstermünz,46.9457,9.7392,5,False,0
"Finstermünz, Landschaft",Finstermünz. Oesterreich. Das Inn-Tal an der Landesgrenze. Blick talauswärts. Aufnahme 1917.,1917,,,Austria,,Finstermünz,46.9457,9.7392,5,False,0
"Puria (IT), Ortschaft, Ortsteilansicht","Val Solda, Italien. Landschaft, Siedlung. Die Dörfer Piria und Dasio mit ihrer landschaftlichen Umgebung, von unten gesehen; Blick nach Nord-Nordwesten",1890-1936,,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0
"Puria (IT), Ortschaft, Ortsteilansicht","Puria, Italien. Landschaft, Siedlung. Romantische Gegend mit Schlucht und steilen Berghalden; über der Schlucht, an den Hang geklebt das Dorf Puria, rechts hinten Dasio: in der Val Solda",1890-1936,,,Italy,Lombardia,Puria,46.0324,9.05694,3,True,0
"Cressogno (IT), Chiesa San Nicolao","Cressogno/Val Solda, Italien. Landschaft, Sakralbau. Halde mit Kirchweg und der Kirche, Ansicht von Westen: Hauptfasade",1890-1936,,,Italy,Lombardia,Cressogno,46.02426,9.07102,3,True,0
"Castello (IT), Ortschaft, Ortsteilansicht","Castello Val Solda, Italien. Landschaft. Bergkeil, der auf seiner Spitze eine dicht zusammengedrängte Häusergruppe trägt; liegt zwischen zwei wilden Schluchten, hat schroffe Abstürze; Ansicht von Südosten(?)",1890-1936,,,Italy,Friuli Venezia Giulia,Castello,45.9498,8.67566,3,True,0
"Porträt, Männliche Person, Onsernone","Russo TI. Menschliches. Älterer Mann: Arbeiter, Handlanger (Porträt, in Arbeitstenue)",1933,,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0
"Porträt, Weibliche Person, Onsernone",Russo TI. Menschliches. Bäuerin in dunkler Werktagskleidung und dunklem Kopftuch (Brustbild),1933,,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0
"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung,1933,,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit (Brustbild von vorn)",1933,,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0
"Porträt, Weibliche Person, Onsernone","Onsernone TI. Russo. Mensch, Arbeit. Ältere Frau: Strohflechterin an der Arbeit; Brustbild seitlich",1933,Russo,,Switzerland,Cantone Ticino,Russo,46.20304,8.62333,3,True,0
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0
"Porträt, Kind, Cevio",Cevio TI. Menschliches: kleines Mädchen (ca. 6 Jahre?) auf Steinbank vor dem Hause sitzend mit Essgerät,1932,,,Switzerland,Cantone Ticino,Cevio,46.31479,8.60332,3,True,0
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Porträt, Weibliche Person, Bignasco","Bignasco TI. Menschliches, Trachtenwesen. Zwei junge Bignascerinnen in der heimischen Tracht, den Gerlo am Rücken",1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Porträt, Weibliche Person, Bignasco",Bignasco TI. Menschliches. Junge Frau (Bäuerin) unter ihrer Haustüre,1932,,,Switzerland,Cantone Ticino,Bignasco,46.33845,8.60816,3,True,0
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Junges Mädchen, Bauerntochter, im Sonntagsstaat",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
"Porträt, Weibliche Person, Cavergno","Cavergno TI. Menschliches. Bäuerin, auf der Steintreppe vor ihrem Hause sitzend",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
"Porträt, Kind, Cavergno","Cavergno TI. Menschliches. Kleines Mädchen (ca. 10 Jahre?) in buntem Kleid, hellem Kopftuch",1932,,,Switzerland,Cantone Ticino,Cavergno,46.34531,8.60713,3,True,0
